state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0,5376510.133623393,2318960.7749730796,557537.9355128192,3011413.142621494,1794169.421887354,1549242.7573959269,1237462.0435598546,1097827.1196177439,747204.8272070616,278235.127426239,7021840.495867991,2723795.1361377854,924051.0498120511,800780.7899282253,1143827.7549279628,1079802.9656654662,552137.3534215075,510610.32693874056,1953314.3314263716,1129754.3143917301,1700945.954509953,1115318.4536678072,1482336.0241475878,272691.4908018174,775732.711906822,2552954.3063185485,1319377.288258367,2761913.94483806,1750903.840815102,1381655.9849397535,1796822.2176628225,1425511.3306567802,714187.0128337332,1932885.8553243051,914365.9583684837,978237.4251039417,3334127.7350048497,1189417.3272963765,1667393.7120142053,545142.3229648115,1627358.0689884424,308472.72398235917,1036513.8325816389,2378867.223506031,1724569.720397353,949539.5052541263,3323946.109261456,824020.5446768408,1201291.3758725692,2054985.3023027787
Alaska,5376510.133623393,0,4086689.035347381,4904938.284160222,3534566.4669600204,3831614.775256276,5369684.543819349,5402063.990234355,5374792.487503784,6118892.28142891,5521953.362065284,4484046.357414861,2924067.1272807615,4564053.603385965,4764249.852598859,4245017.609943005,4359628.218643038,5025633.790417308,5334112.132871533,5285409.841909696,5364090.797915183,5378190.849639958,4663317.180374541,3946504.786088231,5257051.08961609,4600981.407550401,2898510.933323047,4074384.1934556337,3439453.5503458614,5296418.183753591,5375109.663001076,4228101.054629585,5270501.094041016,5526303.680292737,3453889.0934910653,4928764.154640519,4602480.050507327,2513041.38226589,5229964.745076863,5421797.823955847,5587893.152840842,3750458.0368770254,5141697.098490339,4986908.105319249,3395803.030788383,5154914.6605471475,5437129.001870602,2326215.6440887735,5177389.639710718,4328556.966458341,3462960.5417706077
Arizona,2318960.7749730796,4086689.035347381,0,1790575.5558038654,755795.1934114677,901440.3523847361,3523530.6301290765,3290670.0814352697,3164877.4351677806,2925678.7826914205,2591669.812723259,4703599.377002071,1241794.4056156075,2237784.0364983263,2384438.8349601827,1899007.3238248762,1471014.8157201167,2437721.520254903,1927320.6166406944,3807485.4542099233,3184408.162180279,3650041.4055415224,2630533.0105384355,2036973.331610355,2057671.8458088373,1863182.4463591785,1513196.2622817804,1528175.2683520932,666478.7915130194,3648551.7814044906,3391741.379509691,534759.362278593,3370234.980439837,2940949.381671318,1878268.92952114,2693425.0356430323,1377929.892119983,1579041.2655952105,3154463.662900781,3644740.3289250648,2832018.8654524893,1632132.3307853676,2322215.3286481276,1356648.9028874252,807822.6610276229,3550114.3567456324,3081130.3250533766,1768670.027963783,2819664.189749059,2286286.303404745,1126595.361585791
Arkansas,557537.9355128192,4904938.284160222,1790575.5558038654,0,2463293.249811772,1239320.533812208,1849915.6056221586,1571680.0082920766,1435186.8943474721,1276359.6799392935,813061.7362853144,6484484.134469585,2179743.061235261,781126.9671020022,793558.4909495334,788713.4008911578,550642.7054374878,711101.3712598984,471326.1170061364,2208027.721324738,1460579.802884796,1993750.5082913393,1133099.5053379834,1151442.112775866,356896.017714985,401628.0387741613,2038564.1561591874,832809.2740510617,2206755.8457863987,2019292.6188244147,1695910.2097277537,1259844.2440855806,1704923.7097394122,1155726.513229421,1516101.0065425495,1056063.4595448722,424023.28909437166,2785727.071199392,1468513.0878853563,1973861.5836418965,1041965.5167241362,1170705.0066586686,539973.2168061701,643637.4700697395,1822945.5284357679,1956062.2504015437,1324437.2209763299,2788724.9588870276,1098432.2489108248,1017218.3263816341,1517501.4230143607
California,3011413.142621494,3534566.4669600204,755795.1934114677,2463293.249811772,0,1342215.5448093696,4070802.308345606,3871707.753960075,3756101.258307626,3654470.100754437,3275892.6491513443,4030683.5991355227,1047406.4730338558,2775859.375746904,2950288.8813527236,2395094.0079524247,2053059.4531214314,3051846.0480010994,2656447.241189196,4305286.094433411,3771350.6655575656,4183711.7164022783,3144108.9067429486,2432811.7772032944,2761180.3919658894,2457538.5200781734,1460128.9053466266,2013527.872826299,342658.66223340476,4167407.977004205,3955792.768663799,1222350.422069124,3917645.7978992835,3585322.7255991725,2123403.8622991,3256170.9419083125,2039609.2929524295,1062545.7510146932,3720268.662340016,4186938.3269132664,3499161.9343373557,1995168.9444856918,2973304.602946206,2097207.722776013,877394.9247606917,4054224.705524433,3693510.037277562,1331033.0658011916,3416164.211274798,2760787.628229573,1356112.9414658174
Colorado,1794169.421887354,3831614.775256276,901440.3523847361,1239320.533812208,1342215.5448093696,0,2728630.6246735947,2533043.0121881105,2420655.3189213425,2510692.2052955423,2032741.5044700427,5354130.191640175,962999.5496187265,1433861.1362099014,1611744.4272264056,1054940.9110547209,741469.2568212466,1733854.5931213254,1572916.163607875,2971821.054220203,2434535.91215073,2842536.3796572443,1803872.2265656695,1142145.3622519248,1583798.1612171147,1138630.0299478164,948320.6516119059,672739.0356666617,1032408.1863330913,2828451.333731231,2614246.5869717067,546949.9595606046,2575441.9822613243,2283356.4349854793,999400.8244505088,1915746.261773993,840609.7096160119,1553210.835276985,2379244.3292682217,2845031.4504638757,2224078.4925569138,730697.5648136191,1691246.784457234,1156244.7769043231,585482.069844581,2718379.1928409,2367397.5413278867,1588241.9963318799,2084602.9687552985,1428817.0383208473,384302.3480223584
Connecticut,1549242.7573959269,5369684.543819349,3523530.6301290765,1849915.6056221586,4070802.308345606,2728630.6246735947,0,318536.13213446335,453674.97646829195,1712911.726431043,1337617.2668654972,8056619.941147069,3405548.0585920936,1296515.6920707207,1139188.2045709759,1678201.0962759594,2052786.4227252787,1138814.6499491874,2049446.9526534283,422686.64142630575,420590.07007187826,151947.3422930173,934301.093181588,1729283.0376957774,1782936.1857899216,1664228.3332464339,3061512.0674312124,2058030.878794587,3754067.3612543275,221672.58643145775,169063.800388638,2996876.0402117777,153654.2943509222,883559.8344252951,2208395.9477781504,830646.9820324399,2189559.000368842,3996092.211684938,381449.10564558016,124036.90121965182,1093474.9971229057,2144693.4410145646,1343721.3647902838,2484879.91978384,3249551.2083739727,284197.6062507279,614528.1288673476,3864574.7410058607,755178.471128005,1336872.7440998706,2789869.407004873
Delaware,1237462.0435598546,5402063.990234355,3290670.0814352697,1571680.0082920766,3871707.753960075,2533043.0121881105,318536.13213446335,0,140394.843639556,1408595.5980709337,1019776.8765120185,7883577.016635668,3272016.736926023,1105701.0273465791,921536.4218655152,1503912.33710859,1828210.2374371055,865912.4784747344,1741877.0057847053,739170.4052010444,111444.93814625038,469678.62840128446,802317.9796659925,1617252.0405650565,1478318.85665017,1428424.5062104964,2955130.9443227435,1873010.3162918382,3564953.1332408576,535382.1832946151,150106.77915808914,2758741.2984200553,236945.56376726687,565389.3777479517,2120365.5179441688,619130.9610213287,1933550.1936911615,3875620.507073039,177152.45973145973,431261.7235489599,775443.2547443376,2005101.2659037802,1049473.33858006,2197074.83166238,3076584.9596385006,556408.6959702774,296041.7225737386,3766746.7101072418,476014.7558059915,1206069.881598047,2632681.2674387563
District of Columbia,1097827.1196177439,5374792.487503784,3164877.4351677806,1435186.8943474721,3756101.258307626,2420655.3189213425,453674.97646829195,140394.843639556,0,1300492.5996766805,884555.991434796,7774153.158305222,3180848.0131274196,1003299.5277059786,810290.206295734,1404133.8737503733,1707583.2241873231,732993.9558640434,1601626.924063572,869495.2831008445,34483.100241600994,605587.0586426912,734449.0497404535,1542293.2747449097,1337924.623976708,1305421.9363786478,2875333.255127697,1766705.0078970056,3453062.5574164693,665069.7450658688,284834.97069743363,2631888.842738176,349056.9489701716,438704.27029168594,2051571.225016455,519022.26095456694,1802511.9847524369,3788282.800038364,172724.30854861005,569764.298134356,648149.2634853058,1915921.8986659234,910204.9731760733,2058200.9155850906,2971152.127353569,669852.320406523,167401.35821708836,3688377.065449244,345345.981545335,1128275.5034467257,2534131.1067625415
Florida,747204.8272070616,6118892.28142891,2925678.7826914205,1276359.6799392935,3654470.100754437,2510692.2052955423,1712911.726431043,1408595.5980709337,1300492.5996766805,0,618794.6356765677,7608318.483356403,3456100.248114133,1601306.0783303138,1430975.9408073924,1876472.3980100653,1818488.1574894865,1152505.9311322856,998915.1106236598,2133085.4260913897,1334154.5387178324,1853960.6538554283,1671039.5287393725,2198184.958593038,926906.2199357016,1521116.158133602,3298791.650213546,2066421.7992764206,3433730.6736923545,1934584.309064254,1553981.7784705318,2433014.835523708,1643330.6214073042,876843.2525708869,2668596.294343261,1409434.4139527804,1673793.1705650294,4061138.550590396,1457127.0922847253,1803386.0668594374,689990.4302984229,2372717.2987768725,985347.6815673,1571846.2101321528,3089943.974717215,1964671.927223294,1135806.4112086638,4063144.853286101,1207073.951549558,1869896.878545175,2792136.14665815
Georgia,278235.127426239,5521953.362065284,2591669.812723259,813061.7362853144,3275892.6491513443,2032741.5044700427,1337617.2668654972,1019776.8765120185,884555.991434796,618794.6356765677,0,7292743.281440651,2942707.8789617103,983323.2599847916,813129.8153541754,1277804.2699238532,1301540.894029713,534912.1824849945,773398.448103889,1753329.300564548,918302.756510413,1489255.3257629743,1072228.3981029931,1586224.6606185718,550653.6771964184,952091.703866261,2744196.2549480204,1509447.5145299705,3018691.735256802,1548988.4085336046,1168553.7204944273,2066390.2861289252,1227547.1757295306,465818.77722694236,2068065.6113534844,826988.978854939,1237084.461808139,3557170.334953705,1001730.0252528109,1450411.922232693,274962.3595705067,1792201.8920266393,381532.00509799697,1314070.2294682441,2618159.056540431,1540181.468063194,724258.605682594,3530806.260593843,669589.4287451439,1251102.245495855,2270085.6312918975
Hawaii,7021840.495867991,4484046.357414861,4703599.377002071,6484484.134469585,4030683.5991355227,5354130.191640175,8056619.941147069,7883577.016635668,7774153.158305222,7608318.483356403,7292743.281440651,0,4678916.543288063,6778589.425211671,6964183.512457248,6384096.894741951,6081092.668001816,7080693.303891936,6618610.3925187485,8236692.462139974,7787212.22762567,8155556.252518137,7122342.005305653,6345283.292719819,6761228.205788786,6485145.52423809,5069988.2613643175,6010748.673732265,4322084.554276992,8125176.60815361,7956043.697424449,5226395.546792389,7906051.743913082,7615898.532250607,5918633.845261502,7264567.468122433,6063168.578305996,4137411.9696037387,7724588.646039364,8166480.163107646,7525078.194404487,5916749.653854879,7002529.834730391,6039904.564562967,4809157.977795366,7999549.5812799325,7719911.570356654,4344575.678603079,7438647.0436394075,6721411.924645858,5267305.105388221
Idaho,2723795.1361377854,2924067.1272807615,1241794.4056156075,2179743.061235261,1047406.4730338558,962999.5496187265,3405548.0585920936,3272016.736926023,3180848.0131274196,3456100.248114133,2942707.8789617103,4678916.543288063,0,2182061.5502294367,2386267.2733133743,1781819.2044031,1644672.0859850221,2569428.617883832,2535259.9234982673,3559432.9037680514,3187450.55149712,3492950.705536717,2479742.801702846,1677422.9341154837,2532092.8626486645,2001914.1882918794,433294.0085718398,1452132.7733673365,746415.2033136513,3455658.1965123126,3322844.877574069,1304035.8457816327,3259507.5427695517,3129063.5429049213,1241725.276460045,2661868.149564033,1798834.7182897725,617006.7494865542,3102127.2023320454,3508964.907953011,3103866.1102725463,1267035.9262906588,2578952.123721689,2101999.6865466745,473529.7581235701,3326348.42114744,3162324.77059762,627603.3625624011,2871286.056541949,2072727.235946472,673227.0391387213
Illinois,924051.0498120511,4564053.603385965,2237784.0364983263,781126.9671020022,2775859.375746904,1433861.1362099014,1296515.6920707207,1105701.0273465791,1003299.5277059786,1601306.0783303138,983323.2599847916,6778589.425211671,2182061.5502294367,0,210214.95383012717,401204.81012794777,771254.6191003346,462483.0567165369,1196507.8897987455,1571831.1031685602,1012951.6370294669,1415875.047183353,400185.21820078825,617980.0140602892,961217.9095848801,431673.13283272693,1897576.3646392084,767930.6171350578,2463212.419954008,1410920.3573575483,1180663.734524922,1720208.1581476452,1142984.4913374134,985105.4668759974,1124774.1743292562,486731.7538459915,973377.3575464145,2793310.222829378,946675.758800629,1414721.0498897012,1024147.240184762,925056.3994150714,627424.4360853891,1391513.762712188,1970887.4971535106,1313817.1453517685,981287.7143044267,2709726.6547733564,690257.5684086935,277248.8105732459,1530938.2874325484
Indiana,800780.7899282253,4764249.852598859,2384438.8349601827,793558.4909495334,2950288.8813527236,1611744.4272264056,1139188.2045709759,921536.4218655152,810290.206295734,1430975.9408073924,813129.8153541754,6964183.512457248,2386267.2733133743,210214.95383012717,0,604667.0879423025,914188.7610222888,278471.3088929133,1150541.7798990097,1449867.8100750826,823070.3303752812,1268487.5073052077,344965.3040225822,822035.0126249708,893482.865709044,527872.4810243514,2107075.465190719,957068.1826996348,2643938.3552735145,1275262.2046587993,1010014.4886635625,1858008.1296609303,986071.1531346291,775793.6218193398,1332354.6770377087,309215.99310714414,1066300.776250173,2998979.58897697,772884.2875440695,1260847.2250204643,824815.343068839,1133653.2328458447,492520.98427419265,1432274.519947586,2161308.493825809,1192511.21739321,776162.0730106957,2918818.3182153357,485333.46651356056,444138.0429256842,1730178.752552485
Iowa,1143827.7549279628,4245017.609943005,1899007.3238248762,788713.4008911578,2395094.0079524247,1054940.9110547209,1678201.0962759594,1503912.33710859,1404133.8737503733,1876472.3980100653,1277804.2699238532,6384096.894741951,1781819.2044031,401204.81012794777,604667.0879423025,0,496586.7090531633,812425.6361316326,1258530.835440727,1919053.3933063378,1413145.6872037195,1788659.8933835968,749114.0074351585,362895.7700660541,1084350.4835205337,395929.5813745703,1509214.738211148,382213.6945055393,2075944.4301567932,1773510.4565003372,1571973.157287159,1403383.5859990732,1525804.8592152647,1364050.3300656644,792178.6975932238,886268.925088407,786338.356015661,2394320.3368108934,1341109.5062866122,1792789.8768763102,1373529.845344167,534628.4520521275,896853.4855190029,1274251.8722677643,1574965.4368043747,1664422.7593667,1380526.0970317067,2318379.844347566,1089469.902596405,388870.9728971329,1130012.4207554276
Kansas,1079802.9656654662,4359628.218643038,1471014.8157201167,550642.7054374878,2053059.4531214314,741469.2568212466,2052786.4227252787,1828210.2374371055,1707583.2241873231,1818488.1574894865,1301540.894029713,6081092.668001816,1644672.0859850221,771254.6191003346,914188.7610222888,496586.7090531633,0,999614.7915786831,980327.3769333716,2342969.4531436795,1724667.6836102554,2179139.635479714,1169515.0084364298,792926.9296885515,907400.4809026048,404481.01132644294,1487953.5137717794,313075.97163867415,1762194.1802813394,2179319.109558136,1923494.202894642,949187.07949967,1899393.4001147267,1543360.3671086512,1026642.6099330703,1223396.5081836144,320221.3593697646,2257028.822774551,1686160.3036547762,2173786.8089588643,1483451.2240819528,659616.8727676396,950860.7870986569,822466.9230263162,1323230.0222849988,2084868.2610639622,1640460.3415134537,2245117.730648164,1365054.609145989,871033.4036849869,975214.8435049076
Kentucky,552137.3534215075,5025633.790417308,2437721.520254903,711101.3712598984,3051846.0480010994,1733854.5931213254,1138814.6499491874,865912.4784747344,732993.9558640434,1152505.9311322856,534912.1824849945,7080693.303891936,2569428.617883832,462483.0567165369,278471.3088929133,812425.6361316326,999614.7915786831,0,970719.200386648,1503619.912294069,755917.4797294606,1283039.9344401793,563991.3914176064,1079133.6894403491,700653.2838491171,596069.475303823,2319534.356347563,1118444.2132982274,2761079.4953582226,1311319.1784762691,985732.2558735497,1903515.6290793999,994360.8758024398,559673.4919040754,1580132.8568537273,377394.48620322265,1069848.8504546182,3185931.6704344335,757425.6211219816,1262761.74397367,565173.4487660632,1346336.0843559648,252426.09633993483,1348581.2628515677,2304791.584350829,1255971.8884307768,644485.0247190458,3125340.062147498,390023.22672093415,720066.3560718475,1901273.0447727412
Louisiana,510610.32693874056,5334112.132871533,1927320.6166406944,471326.1170061364,2656447.241189196,1572916.163607875,2049446.9526534283,1741877.0057847053,1601626.924063572,998915.1106236598,773398.448103889,6618610.3925187485,2535259.9234982673,1196507.8897987455,1150541.7798990097,1258530.835440727,980327.3769333716,970719.200386648,0,2445080.360196056,1632649.4548158455,2200413.2746171616,1493827.2244109064,1621426.3457846472,271395.24327829183,866220.8935542741,2445283.3594005127,1283197.206703313,2443771.456270004,2244963.6613737033,1883459.9809306592,1436418.1354302904,1919810.580927207,1224504.092375687,1981021.0684692604,1347947.7855511329,740972.8110117101,3122017.4120653537,1680980.582780856,2169459.585992537,1047836.0771858764,1627658.6950129017,725527.8867319545,579325.5781672795,2134036.9961148277,2208062.0545066274,1457713.1954236208,3157830.827260696,1306864.0496614364,1455244.3363340793,1898467.3387367832
Maine,1953314.3314263716,5285409.841909696,3807485.4542099233,2208027.721324738,4305286.094433411,2971821.054220203,422686.64142630575,739170.4052010444,869495.2831008445,2133085.4260913897,1753329.300564548,8236692.462139974,3559432.9037680514,1571831.1031685602,1449867.8100750826,1919053.3933063378,2342969.4531436795,1503619.912294069,2445080.360196056,0,835435.6151031592,279529.5578518681,1176997.635233915,1894691.9043191317,2175506.320340121,1975795.8950665612,3184866.153628168,2300413.954650537,3977628.4818744026,204426.04643555242,589097.2423979085,3292036.1653632973,528079.0024265861,1304451.3340855117,2326859.847497767,1155960.2856605372,2516103.309973193,4126223.3996439674,764604.8083217915,333062.63702766405,1514544.5368274038,2329401.091000578,1727099.2969408024,2850180.425825604,3456863.7760439175,258248.64912947643,1033901.1273692796,3966089.2750375853,1138612.0373638377,1544670.7748570675,2983132.4064828
Maryland,1129754.3143917301,5364090.797915183,3184408.162180279,1460579.802884796,3771350.6655575656,2434535.91215073,420590.07007187826,111444.93814625038,34483.100241600994,1334154.5387178324,918302.756510413,7787212.22762567,3187450.55149712,1012951.6370294669,823070.3303752812,1413145.6872037195,1724667.6836102554,755917.4797294606,1632649.4548158455,835435.6151031592,0,572537.0305130648,732472.2238126023,1543436.8883346051,1368274.439237976,1323449.095938563,2878357.2320254613,1778182.5435068405,3466861.646167068,631012.1705314491,252086.97826801578,2651885.9898438095,314575.42837907607,473186.7188783623,2051155.2908309768,526941.0085296365,1824559.936044639,3793741.1442167885,147597.66133535843,537639.9808782008,682622.2744492964,1921620.876309067,938091.5673318096,2085632.9153380261,2982540.103229439,635438.6271494459,201844.42227666537,3691088.9904918224,366570.5329406637,1129939.172861097,2543067.210169405
Massachusetts,1700945.954509953,5378190.849639958,3650041.4055415224,1993750.5082913393,4183711.7164022783,2842536.3796572443,151947.3422930173,469678.62840128446,605587.0586426912,1853960.6538554283,1489255.3257629743,8155556.252518137,3492950.705536717,1415875.047183353,1268487.5073052077,1788659.8933835968,2179139.635479714,1283039.9344401793,2200413.2746171616,279529.5578518681,572537.0305130648,0,1040024.7825147292,1815705.4441655488,1933412.459324652,1795724.5006807523,3138446.5355413733,2170255.303225771,3863453.576241281,100496.36049957175,320838.6116385944,3125971.0029530367,288882.4040917883,1033775.552774536,2281394.6187286,962360.2688224319,2326061.503763441,4076688.7975440873,526581.3691479923,58928.862293185775,1243437.0385739175,2239119.878555233,1492359.726030163,2630790.5226319223,3353425.398664438,226297.846392407,765700.0136682948,3935679.3677635225,902721.0093229661,1434810.4749859401,2888637.225756173
Michigan,1115318.4536678072,4663317.180374541,2630533.0105384355,1133099.5053379834,3144108.9067429486,1803872.2265656695,934301.093181588,802317.9796659925,734449.0497404535,1671039.5287393725,1072228.3981029931,7122342.005305653,2479742.801702846,400185.21820078825,344965.3040225822,749114.0074351585,1169515.0084364298,563991.3914176064,1493827.2244109064,1176997.635233915,732472.2238126023,1040024.7825147292,0,815163.4080080738,1233534.3676769529,824679.4074093723,2153688.9347743057,1131171.6362685836,2823465.1595555576,1024939.6007793271,843108.0013563841,2117236.2040425246,784054.2856183681,887177.58510192,1319190.2250549926,275802.2257030356,1369562.0796497734,3078359.100100766,627415.3429946833,1046015.4274612947,1005403.189231538,1214249.0497758824,809970.1461379607,1765770.034908861,2315624.965445579,920006.8964788324,774647.1903496241,2964701.2525804467,521642.6235023233,407137.56065842556,1855985.7797261144
Minnesota,1482336.0241475878,3946504.786088231,2036973.331610355,1151442.112775866,2432811.7772032944,1142145.3622519248,1729283.0376957774,1617252.0405650565,1542293.2747449097,2198184.958593038,1586224.6606185718,6345283.292719819,1677422.9341154837,617980.0140602892,822035.0126249708,362895.7700660541,792926.9296885515,1079133.6894403491,1621426.3457846472,1894691.9043191317,1543436.8883346051,1815705.4441655488,815163.4080080738,0,1442795.682024447,757600.167466167,1338804.230390489,549089.8857072972,2097530.424447334,1780594.9359641918,1654025.800716775,1588779.6309361414,1585011.295839613,1595598.2500466963,514687.81538887264,1035389.4836082552,1107354.8571972342,2267705.644231497,1442571.9948749887,1831602.5373461018,1642113.0310823163,438463.4327592742,1212909.9041422806,1607028.7597933265,1568657.825582886,1654330.8533229446,1556275.8869352983,2149549.0107584954,1272497.0346948067,414265.9918257114,1090682.8855136293
Mississippi,272691.4908018174,5257051.08961609,2057671.8458088373,356896.017714985,2761180.3919658894,1583798.1612171147,1782936.1857899216,1478318.85665017,1337924.623976708,926906.2199357016,550653.6771964184,6761228.205788786,2532092.8626486645,961217.9095848801,893482.865709044,1084350.4835205337,907400.4809026048,700653.2838491171,271395.24327829183,2175506.320340121,1368274.439237976,1933412.459324652,1233534.3676769529,1442795.682024447,0,689815.5602633127,2395353.3603667933,1182700.7735201058,2522426.7968073846,1976073.3700306164,1617982.0581088106,1541430.4208028466,1651285.2098045761,977556.0592564268,1847434.787866242,1078047.138314103,748145.6424922468,3134919.78493662,1412040.9338815429,1903764.506832881,816792.2271605234,1513815.5653841714,454166.1627695574,763867.505006269,2163525.590608169,1937306.5640149184,1198710.6426924686,3143739.220457922,1036930.7894093996,1230054.2666555168,1872821.1728753173
